PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Malcolm Cazalon,1,0,1,0.0,2.5833333333333335,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,31,28,1,28,31,31,31,31,29,31,29,30,30,30,31,31,31,31,29,30,31,1,1,30,31,4,31,11,1,31
Marcus Sasser,71,11,60,0.155,1351.11,219,512,0.428,90,240,0.375,58,66,0.879,11,114,125,236,90,44,12,24,103,73,586,-250,1168.0,1,0,1149.0,2,3,30,17,6,5,4,19,4,4,11,9,9,6,14,7,7,3,4,4,10,26,26,9,4,26,5,7,1,5
Marvin Bagley III,26,2,24,0.077,478.4033333333333,107,181,0.591,1,6,0.167,50,61,0.82,46,72,118,27,29,5,14,14,40,51,265,-74,475.1,1,0,449.0,13,19,20,25,14,11,14,3,28,26,27,10,10,11,6,11,9,14,11,20,8,22,17,11,11,14,11,7,1,11
Mike Muscala,13,4,9,0.308,171.185,15,44,0.341,13,34,0.382,2,4,0.5,10,19,29,10,2,3,5,5,13,7,45,46,116.8,0,0,113.0,22,11,8,3,22,22,22,27,16,17,10,26,26,27,17,22,22,23,25,22,16,13,9,22,23,1,22,11,1,22
Monte Morris,6,2,4,0.333,68.21833333333333,12,33,0.364,2,11,0.182,1,2,0.5,2,10,12,8,2,1,1,3,1,2,27,-2,57.4,0,0,53.0,25,19,4,2,27,24,25,24,25,24,26,28,28,27,27,26,26,26,25,27,26,8,2,29,28,5,27,11,1,28
Quentin Grimes,6,3,3,0.5,115.37,9,42,0.214,4,28,0.143,10,11,0.909,1,11,12,14,7,5,4,2,9,6,32,-44,87.4,0,0,80.0,25,17,2,1,24,28,23,30,23,20,28,22,22,2,30,24,26,19,21,20,19,4,7,25,26,11,24,11,1,25
Shake Milton,4,0,4,0.0,63.11666666666667,11,26,0.423,3,9,0.333,2,3,0.667,7,11,18,6,3,2,1,0,3,7,27,-27,63.6,0,0,60.0,28,28,4,28,28,27,27,20,24,25,14,26,27,21,21,24,23,27,24,25,26,1,4,22,28,7,26,11,1,26
Simone Fontecchio,16,4,12,0.25,484.11,91,190,0.479,43,101,0.426,22,26,0.846,12,58,70,28,17,14,5,14,29,26,247,-36,413.0,0,0,426.0,19,11,10,4,13,12,12,12,7,9,4,15,15,10,13,14,15,13,16,14,16,22,15,12,12,9,13,11,1,12
Stanley Umude,24,4,20,0.167,307.12166666666667,37,84,0.44,24,53,0.453,29,32,0.906,8,43,51,11,14,8,7,4,40,21,127,-75,235.7,0,0,243.0,14,11,15,11,19,18,19,16,10,15,3,12,14,4,19,17,17,22,18,18,12,10,17,16,17,15,19,11,1,18
Taj Gibson,4,1,3,0.25,39.123333333333335,8,14,0.571,2,4,0.5,0,0,0.0,2,7,9,2,0,1,1,2,3,0,18,-5,37.8,0,0,35.0,28,24,2,4,30,30,30,4,25,28,2,30,30,30,27,28,30,30,29,27,26,4,4,30,30,6,30,11,1,30
Tosan Evbuomwan,13,1,12,0.077,292.58666666666664,32,56,0.571,10,24,0.417,17,25,0.68,10,36,46,10,8,6,4,4,18,17,91,-100,183.2,0,0,177.0,22,24,10,25,20,20,21,4,19,22,5,19,16,20,17,18,19,23,20,19,19,10,11,18,20,17,21,11,1,20
Troy Brown Jr.,22,2,20,0.091,416.7216666666667,32,108,0.296,16,57,0.281,13,15,0.867,11,61,72,25,12,16,1,13,16,12,93,-128,255.9,0,0,240.0,17,19,15,24,16,20,18,29,15,14,23,20,21,9,14,13,14,16,19,13,26,21,10,21,19,19,17,11,1,19
